contexto,lacuna,gabarito,classificacao,correcao
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,carro,trabalhava,nome substantivo,incorreta
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",tirava,ganhava,verbo,classe_correta
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",de,juntou,preposição,incorreta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",eu,mudamos,pronome pessoal,incorreta
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,de,viajar,preposição,incorreta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,pasava,soltava,verbo,classe_correta
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",era,era,verbo,exata
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",era,era,verbo,exata
Nós [LACUNA] na rua de tardezinha,brica,brincávamos,verbo,aceitavel
O acendedor de lampiões [LACUNA] quando escurecia,e,passava,conjunção aditiva,incorreta
O acendedor de lampiões passava quando [LACUNA],acotesia,escurecia,verbo,classe_correta
Muita coisa [LACUNA] quando a eletricidade chegou,egrosa,mudou,verbo,classe_correta
Muita coisa mudou quando a eletricidade [LACUNA],acabava,chegou,verbo,classe_correta
As lâmpadas elétricas [LACUNA] os lampiões a gás,apagava,substituíram,verbo,classe_correta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,parava,chegou,verbo,classe_correta
O rádio chegou e a família toda [LACUNA] notícias e novelas,dia,ouvia,nome substantivo,incorreta
A inauguração dos bondes elétricos [LACUNA] uma emoção,da,foi,verbo,classe_correta
Todo mundo [LACUNA],ficamu,viu,verbo,classe_correta
Os primeiros automóveis [LACUNA] uma sensação,foi,foram,verbo,aceitavel
Os ônibus também [LACUNA],adavam,chegaram,verbo,classe_correta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,sorriu,desapareceram,verbo,classe_correta
A cidade [LACUNA] e a nossa vida também,ficou,mudou,verbo,classe_correta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",aconteceram,chegavam,verbo,aceitavel
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,de,era,preposição,incorreta
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,tem,comprou,verbo,aceitavel
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,evoluiu,começaram,verbo,classe_correta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,coisas,fabricá,nome substantivo,incorreta
São Paulo [LACUNA] muito,também,cresceu,advérbio de inclusão,incorreta
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",gosto,dizem,verbo,classe_correta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",a,é,artigo,incorreta
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",Brasil,cresceu,nome substantivo,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",qual,era,pronome interrogativo,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",de,causou,preposição,incorreta
"Mesmo assim, eu [LACUNA] dela",não,gosto,advérbio de negação,incorreta
Aqui [LACUNA] minhas lembranças,mas,estão,conjunção adversativa,incorreta
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,trabalhava,trabalhava,verbo,exata
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",é,ganhava,verbo,classe_correta
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",o,juntou,artigo,incorreta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",a,mudamos,artigo,incorreta
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,tem,viajar,verbo,classe_correta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,solta,soltava,verbo,aceitavel
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",era,era,verbo,exata
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",era,era,verbo,exata
Nós [LACUNA] na rua de tardezinha,brincavamos,brincávamos,verbo,aceitavel
O acendedor de lampiões [LACUNA] quando escurecia,era,passava,verbo,classe_correta
O acendedor de lampiões passava quando [LACUNA],faltava,escurecia,verbo,classe_correta
Muita coisa [LACUNA] quando a eletricidade chegou,faltava,mudou,verbo,classe_correta
Muita coisa mudou quando a eletricidade [LACUNA],caia,chegou,verbo,classe_correta
As lâmpadas elétricas [LACUNA] os lampiões a gás,e,substituíram,conjunção aditiva,incorreta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,falava,chegou,verbo,classe_correta
O rádio chegou e a família toda [LACUNA] notícias e novelas,escutava,ouvia,verbo,aceitavel
A inauguração dos bondes elétricos [LACUNA] uma emoção,é,foi,verbo,aceitavel
Todo mundo [LACUNA],teve,viu,verbo,classe_correta
Os primeiros automóveis [LACUNA] uma sensação,era,foram,verbo,aceitavel
Os ônibus também [LACUNA],eram,chegaram,verbo,classe_correta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,são,desapareceram,verbo,classe_correta
A cidade [LACUNA] e a nossa vida também,é,mudou,verbo,classe_correta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",eram,chegavam,verbo,classe_correta
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,era,era,verbo,exata
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,tinha,comprou,verbo,aceitavel
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,compraram,começaram,verbo,classe_correta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,e,fabricá,conjunção aditiva,incorreta
São Paulo [LACUNA] muito,as,cresceu,artigo,incorreta
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",eram,dizem,verbo,classe_correta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",e,é,verbo,aceitavel
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",é,cresceu,verbo,classe_correta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",era,era,verbo,exata
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",eram,causou,verbo,classe_correta
"Mesmo assim, eu [LACUNA] dela",era,gosto,verbo,classe_correta
Aqui [LACUNA] minhas lembranças,são,estão,verbo,aceitavel
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,trabalhava,trabalhava,verbo,exata
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",gastava,ganhava,verbo,classe_correta
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",o,juntou,artigo,incorreta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",viagar,mudamos,verbo,classe_correta
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,mas,viajar,conjunção adversativa,incorreta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,tem,soltava,verbo,aceitavel
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",é,era,verbo,aceitavel
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",é,era,verbo,aceitavel
Nós [LACUNA] na rua de tardezinha,paseamos,brincávamos,verbo,classe_correta
O acendedor de lampiões [LACUNA] quando escurecia,é,passava,verbo,classe_correta
O acendedor de lampiões passava quando [LACUNA],é,escurecia,verbo,classe_correta
Muita coisa [LACUNA] quando a eletricidade chegou,que,mudou,pronome relativo,incorreta
Muita coisa mudou quando a eletricidade [LACUNA],tem,chegou,verbo,classe_correta
As lâmpadas elétricas [LACUNA] os lampiões a gás,é,substituíram,verbo,classe_correta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,tem,chegou,verbo,classe_correta
O rádio chegou e a família toda [LACUNA] notícias e novelas,a,ouvia,artigo,incorreta
A inauguração dos bondes elétricos [LACUNA] uma emoção,da,foi,verbo,classe_correta
Todo mundo [LACUNA],feliz,viu,adjetivo,incorreta
Os primeiros automóveis [LACUNA] uma sensação,foram,foram,verbo,exata
Os ônibus também [LACUNA],foram,chegaram,verbo,classe_correta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,tambem,desapareceram,advérbio de inclusão,incorreta
A cidade [LACUNA] e a nossa vida também,foi,mudou,verbo,classe_correta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",pela,chegavam,contração,incorreta
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,é,era,verbo,aceitavel
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,tem,comprou,verbo,aceitavel
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,ficarem,começaram,verbo,classe_correta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,ricos,fabricá,nome substantivo,incorreta
São Paulo [LACUNA] muito,tem,cresceu,verbo,classe_correta
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",ficam,dizem,verbo,classe_correta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",estas,é,verbo,classe_correta
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",do,cresceu,contração,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",é,era,verbo,aceitavel
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",patria,causou,nome substantivo,incorreta
"Mesmo assim, eu [LACUNA] dela",não,gosto,advérbio de negação,incorreta
Aqui [LACUNA] minhas lembranças,sera,estão,verbo,aceitavel
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,trabalhava,trabalhava,verbo,exata
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",fazia,ganhava,verbo,classe_correta
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",o,juntou,artigo,incorreta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",suficiente,mudamos,adjetivo,incorreta
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,quando,viajar,advérbio de tempo,incorreta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,a,soltava,artigo,incorreta
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",era,era,verbo,exata
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",era,era,verbo,exata
Nós [LACUNA] na rua de tardezinha,brincava,brincávamos,verbo,aceitavel
O acendedor de lampiões [LACUNA] quando escurecia,acaba,passava,verbo,classe_correta
O acendedor de lampiões passava quando [LACUNA],acende,escurecia,verbo,classe_correta
Muita coisa [LACUNA] quando a eletricidade chegou,é,mudou,verbo,classe_correta
Muita coisa mudou quando a eletricidade [LACUNA],acaba,chegou,verbo,classe_correta
As lâmpadas elétricas [LACUNA] os lampiões a gás,também,substituíram,advérbio de inclusão,incorreta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,eletrico,chegou,adjetivo,incorreta
O rádio chegou e a família toda [LACUNA] notícias e novelas,é,ouvia,verbo,classe_correta
A inauguração dos bondes elétricos [LACUNA] uma emoção,era,foi,verbo,aceitavel
Todo mundo [LACUNA],queria,viu,verbo,classe_correta
Os primeiros automóveis [LACUNA] uma sensação,era,foram,verbo,aceitavel
Os ônibus também [LACUNA],anda,chegaram,verbo,classe_correta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,sai,desapareceram,verbo,aceitavel
A cidade [LACUNA] e a nossa vida também,que,mudou,pronome relativo,incorreta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",é,chegavam,verbo,classe_correta
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,é,era,verbo,aceitavel
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,tem,comprou,verbo,aceitavel
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,acontece,começaram,verbo,classe_correta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,lançadas,fabricá,verbo,classe_correta
São Paulo [LACUNA] muito,tem,cresceu,verbo,classe_correta
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",acho,dizem,verbo,aceitavel
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",muita,é,pronome indefinido,incorreta
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",raiva,cresceu,nome substantivo,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",é,era,verbo,aceitavel
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",trazer,causou,verbo,aceitavel
"Mesmo assim, eu [LACUNA] dela",falo,gosto,verbo,classe_correta
Aqui [LACUNA] minhas lembranças,é,estão,verbo,aceitavel
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,trabalhava,trabalhava,verbo,exata
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",ganhava,ganhava,verbo,exata
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",ssobrava,juntou,verbo,classe_correta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",viajava,mudamos,verbo,classe_correta
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,era,viajar,verbo,classe_correta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,ssaia,soltava,verbo,aceitavel
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",era,era,verbo,exata
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",era,era,verbo,exata
Nós [LACUNA] na rua de tardezinha,brimcavamos,brincávamos,verbo,aceitavel
O acendedor de lampiões [LACUNA] quando escurecia,assendia,passava,verbo,classe_correta
O acendedor de lampiões passava quando [LACUNA],escurecia,escurecia,verbo,exata
Muita coisa [LACUNA] quando a eletricidade chegou,melhorou,mudou,verbo,classe_correta
Muita coisa mudou quando a eletricidade [LACUNA],chegou,chegou,verbo,exata
As lâmpadas elétricas [LACUNA] os lampiões a gás,ssubistuirão,substituíram,verbo,aceitavel
O rádio [LACUNA] e a família toda ouvia notícias e novelas,tocava,chegou,verbo,classe_correta
O rádio chegou e a família toda [LACUNA] notícias e novelas,escutavão,ouvia,verbo,aceitavel
A inauguração dos bondes elétricos [LACUNA] uma emoção,foi,foi,verbo,exata
Todo mundo [LACUNA],gostou,viu,verbo,classe_correta
Os primeiros automóveis [LACUNA] uma sensação,forão,foram,verbo,aceitavel
Os ônibus também [LACUNA],-,chegaram,-,incorreta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,-,desapareceram,-,incorreta
A cidade [LACUNA] e a nossa vida também,-,mudou,-,incorreta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",-,chegavam,-,incorreta
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,-,era,-,incorreta
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,-,comprou,-,incorreta
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,-,começaram,-,incorreta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,-,fabricá,-,incorreta
São Paulo [LACUNA] muito,-,cresceu,-,incorreta
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",-,dizem,-,incorreta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",-,é,-,incorreta
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",-,cresceu,-,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",-,era,-,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",-,causou,-,incorreta
"Mesmo assim, eu [LACUNA] dela",-,gosto,-,incorreta
Aqui [LACUNA] minhas lembranças,-,estão,-,incorreta
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,trabalhava,trabalhava,verbo,exata
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",trabalhava,ganhava,verbo,classe_correta
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",ganhava,juntou,verbo,classe_correta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",fomos,mudamos,verbo,aceitavel
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,que,viajar,pronome relativo,incorreta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,tem,soltava,verbo,aceitavel
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",é,era,verbo,aceitavel
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",é,era,verbo,aceitavel
Nós [LACUNA] na rua de tardezinha,fomos,brincávamos,verbo,classe_correta
O acendedor de lampiões [LACUNA] quando escurecia,estava,passava,verbo,classe_correta
O acendedor de lampiões passava quando [LACUNA],eu,escurecia,pronome pessoal,incorreta
Muita coisa [LACUNA] quando a eletricidade chegou,aconteceu,mudou,verbo,aceitavel
Muita coisa mudou quando a eletricidade [LACUNA],veio,chegou,verbo,aceitavel
As lâmpadas elétricas [LACUNA] os lampiões a gás,estouraram,substituíram,verbo,classe_correta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,funcionou,chegou,verbo,classe_correta
O rádio chegou e a família toda [LACUNA] notícias e novelas,era,ouvia,verbo,classe_correta
A inauguração dos bondes elétricos [LACUNA] uma emoção,foram,foi,verbo,aceitavel
Todo mundo [LACUNA],viu,viu,verbo,exata
Os primeiros automóveis [LACUNA] uma sensação,a,foram,artigo,incorreta
Os ônibus também [LACUNA],fumcionam,chegaram,verbo,classe_correta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,estão,desapareceram,verbo,classe_correta
A cidade [LACUNA] e a nossa vida também,carmopolis,mudou,nome substantivo,incorreta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",maravilhosas,chegavam,adjetivo,incorreta
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,esta,era,verbo,aceitavel
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,sofre,comprou,verbo,classe_correta
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,eu,começaram,pronome pessoal,incorreta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,ela,fabricá,pronome pessoal,incorreta
São Paulo [LACUNA] muito,odiei,cresceu,verbo,classe_correta
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",atrasam,dizem,verbo,classe_correta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",são,é,verbo,aceitavel
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",é,cresceu,verbo,classe_correta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",é,era,verbo,aceitavel
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",tem,causou,verbo,aceitavel
"Mesmo assim, eu [LACUNA] dela",gosto,gosto,verbo,exata
Aqui [LACUNA] minhas lembranças,são,estão,verbo,aceitavel
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,muito,trabalhava,advérbio de intensidade,incorreta
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",e,ganhava,conjunção,incorreta
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",o,juntou,artigo,incorreta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",-,mudamos,-,incorreta
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,-,viajar,-,incorreta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,souta,soltava,verbo,aceitavel
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",e,era,verbo,aceitavel
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",e,era,verbo,aceitavel
Nós [LACUNA] na rua de tardezinha,sentamos,brincávamos,verbo,classe_correta
O acendedor de lampiões [LACUNA] quando escurecia,acende,passava,verbo,classe_correta
O acendedor de lampiões passava quando [LACUNA],chegamos,escurecia,verbo,classe_correta
Muita coisa [LACUNA] quando a eletricidade chegou,acontece,mudou,verbo,aceitavel
Muita coisa mudou quando a eletricidade [LACUNA],acaba,chegou,verbo,classe_correta
As lâmpadas elétricas [LACUNA] os lampiões a gás,e,substituíram,conjunção aditiva,incorreta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,passa,chegou,verbo,classe_correta
O rádio chegou e a família toda [LACUNA] notícias e novelas,as,ouvia,artigo,incorreta
A inauguração dos bondes elétricos [LACUNA] uma emoção,teve,foi,verbo,classe_correta
Todo mundo [LACUNA],adimerou,viu,verbo,classe_correta
Os primeiros automóveis [LACUNA] uma sensação,e,foram,verbo,aceitavel
Os ônibus também [LACUNA],adimiramos,chegaram,verbo,classe_correta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,vão,desapareceram,verbo,classe_correta
A cidade [LACUNA] e a nossa vida também,onde,mudou,advérbio de lugar,incorreta
