contexto,lacuna,gabarito,classificacao,correcao,pontuacao_nlpcloze,correcao_nlpcloze
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",era,era,verbo,exata,1.0,exata
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",era,era,verbo,exata,1.0,exata
Nós [LACUNA] na rua de tardezinha,brica,brincávamos,verbo,aceitavel,0.0,incorreta
O acendedor de lampiões [LACUNA] quando escurecia,e,passava,conjunção aditiva,incorreta,0.0,incorreta
O acendedor de lampiões passava quando [LACUNA],acotesia,escurecia,verbo,classe_correta,0.0,incorreta
Muita coisa [LACUNA] quando a eletricidade chegou,egrosa,mudou,verbo,classe_correta,0.0,incorreta
Muita coisa mudou quando a eletricidade [LACUNA],acabava,chegou,verbo,classe_correta,0.5,classe_correta
As lâmpadas elétricas [LACUNA] os lampiões a gás,apagava,substituíram,verbo,classe_correta,0.5,classe_correta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,parava,chegou,verbo,classe_correta,0.5,classe_correta
O rádio chegou e a família toda [LACUNA] notícias e novelas,dia,ouvia,nome substantivo,incorreta,0.0,incorreta
A inauguração dos bondes elétricos [LACUNA] uma emoção,da,foi,verbo,classe_correta,0.0,incorreta
Todo mundo [LACUNA],ficamu,viu,verbo,classe_correta,0.0,incorreta
Os primeiros automóveis [LACUNA] uma sensação,foi,foram,verbo,aceitavel,1.0,aceitavel
Os ônibus também [LACUNA],adavam,chegaram,verbo,classe_correta,0.5,classe_correta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,sorriu,desapareceram,verbo,classe_correta,0.5,classe_correta
A cidade [LACUNA] e a nossa vida também,ficou,mudou,verbo,classe_correta,0.5,classe_correta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",aconteceram,chegavam,verbo,aceitavel,0.5,classe_correta
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,de,era,preposição,incorreta,0.0,incorreta
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,tem,comprou,verbo,aceitavel,0.5,classe_correta
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,evoluiu,começaram,verbo,classe_correta,0.5,classe_correta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,coisas,fabricá,nome substantivo,incorreta,0.5,classe_correta
São Paulo [LACUNA] muito,também,cresceu,advérbio de inclusão,incorreta,0.0,incorreta
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",gosto,dizem,verbo,classe_correta,0.5,classe_correta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",a,é,artigo,incorreta,1.0,grafia_incorreta
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",Brasil,cresceu,nome substantivo,incorreta,0.0,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",qual,era,pronome interrogativo,incorreta,0.0,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",de,causou,preposição,incorreta,0.0,incorreta
"Mesmo assim, eu [LACUNA] dela",não,gosto,advérbio de negação,incorreta,0.0,incorreta
Aqui [LACUNA] minhas lembranças,mas,estão,conjunção adversativa,incorreta,0.0,incorreta
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,trabalhava,trabalhava,verbo,exata,1.0,exata
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",é,ganhava,verbo,classe_correta,0.5,classe_correta
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",o,juntou,artigo,incorreta,0.0,incorreta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",a,mudamos,artigo,incorreta,0.0,incorreta
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,tem,viajar,verbo,classe_correta,0.5,classe_correta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,solta,soltava,verbo,aceitavel,1.0,aceitavel
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",era,era,verbo,exata,1.0,exata
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",era,era,verbo,exata,1.0,exata
Nós [LACUNA] na rua de tardezinha,brincavamos,brincávamos,verbo,aceitavel,1.0,grafia_incorreta
O acendedor de lampiões [LACUNA] quando escurecia,era,passava,verbo,classe_correta,0.5,classe_correta
O acendedor de lampiões passava quando [LACUNA],faltava,escurecia,verbo,classe_correta,0.5,classe_correta
Muita coisa [LACUNA] quando a eletricidade chegou,faltava,mudou,verbo,classe_correta,0.5,classe_correta
Muita coisa mudou quando a eletricidade [LACUNA],caia,chegou,verbo,classe_correta,0.5,classe_correta
As lâmpadas elétricas [LACUNA] os lampiões a gás,e,substituíram,conjunção aditiva,incorreta,0.0,incorreta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,falava,chegou,verbo,classe_correta,0.5,classe_correta
O rádio chegou e a família toda [LACUNA] notícias e novelas,escutava,ouvia,verbo,aceitavel,1.0,aceitavel
A inauguração dos bondes elétricos [LACUNA] uma emoção,é,foi,verbo,aceitavel,1.0,aceitavel
Todo mundo [LACUNA],teve,viu,verbo,classe_correta,0.5,classe_correta
Os primeiros automóveis [LACUNA] uma sensação,era,foram,verbo,aceitavel,0.5,classe_correta
Os ônibus também [LACUNA],eram,chegaram,verbo,classe_correta,0.5,classe_correta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,são,desapareceram,verbo,classe_correta,0.5,classe_correta
A cidade [LACUNA] e a nossa vida também,é,mudou,verbo,classe_correta,0.5,classe_correta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",eram,chegavam,verbo,classe_correta,1.0,aceitavel
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,era,era,verbo,exata,1.0,exata
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,tinha,comprou,verbo,aceitavel,0.5,classe_correta
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,compraram,começaram,verbo,classe_correta,1.0,grafia_incorreta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,e,fabricá,conjunção aditiva,incorreta,0.0,incorreta
São Paulo [LACUNA] muito,as,cresceu,artigo,incorreta,0.0,incorreta
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",eram,dizem,verbo,classe_correta,0.5,classe_correta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",e,é,verbo,aceitavel,1.0,grafia_incorreta
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",é,cresceu,verbo,classe_correta,0.5,classe_correta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",era,era,verbo,exata,1.0,exata
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",eram,causou,verbo,classe_correta,0.5,classe_correta
"Mesmo assim, eu [LACUNA] dela",era,gosto,verbo,classe_correta,0.5,classe_correta
Aqui [LACUNA] minhas lembranças,são,estão,verbo,aceitavel,1.0,aceitavel
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,trabalhava,trabalhava,verbo,exata,1.0,exata
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",gastava,ganhava,verbo,classe_correta,1.0,grafia_incorreta
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",o,juntou,artigo,incorreta,0.0,incorreta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",viagar,mudamos,verbo,classe_correta,0.5,classe_correta
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,mas,viajar,conjunção adversativa,incorreta,0.0,incorreta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,tem,soltava,verbo,aceitavel,0.5,classe_correta
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",é,era,verbo,aceitavel,0.5,classe_correta
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",é,era,verbo,aceitavel,0.5,classe_correta
Nós [LACUNA] na rua de tardezinha,paseamos,brincávamos,verbo,classe_correta,0.5,classe_correta
O acendedor de lampiões [LACUNA] quando escurecia,é,passava,verbo,classe_correta,0.5,classe_correta
O acendedor de lampiões passava quando [LACUNA],é,escurecia,verbo,classe_correta,0.5,classe_correta
Muita coisa [LACUNA] quando a eletricidade chegou,que,mudou,pronome relativo,incorreta,0.0,incorreta
Muita coisa mudou quando a eletricidade [LACUNA],tem,chegou,verbo,classe_correta,0.5,classe_correta
As lâmpadas elétricas [LACUNA] os lampiões a gás,é,substituíram,verbo,classe_correta,0.5,classe_correta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,tem,chegou,verbo,classe_correta,0.5,classe_correta
O rádio chegou e a família toda [LACUNA] notícias e novelas,a,ouvia,artigo,incorreta,0.0,incorreta
A inauguração dos bondes elétricos [LACUNA] uma emoção,da,foi,verbo,classe_correta,0.0,incorreta
Todo mundo [LACUNA],feliz,viu,adjetivo,incorreta,0.0,incorreta
Os primeiros automóveis [LACUNA] uma sensação,foram,foram,verbo,exata,1.0,exata
Os ônibus também [LACUNA],foram,chegaram,verbo,classe_correta,0.5,classe_correta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,tambem,desapareceram,advérbio de inclusão,incorreta,0.0,incorreta
A cidade [LACUNA] e a nossa vida também,foi,mudou,verbo,classe_correta,0.5,classe_correta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",pela,chegavam,contração,incorreta,0.0,incorreta
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,é,era,verbo,aceitavel,1.0,aceitavel
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,tem,comprou,verbo,aceitavel,0.5,classe_correta
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,ficarem,começaram,verbo,classe_correta,0.5,classe_correta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,ricos,fabricá,nome substantivo,incorreta,0.5,classe_correta
São Paulo [LACUNA] muito,tem,cresceu,verbo,classe_correta,0.5,classe_correta
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",ficam,dizem,verbo,classe_correta,0.5,classe_correta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",estas,é,verbo,classe_correta,0.0,incorreta
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",do,cresceu,contração,incorreta,0.0,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",é,era,verbo,aceitavel,0.5,classe_correta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",patria,causou,nome substantivo,incorreta,0.0,incorreta
"Mesmo assim, eu [LACUNA] dela",não,gosto,advérbio de negação,incorreta,0.0,incorreta
Aqui [LACUNA] minhas lembranças,sera,estão,verbo,aceitavel,0.0,incorreta
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,trabalhava,trabalhava,verbo,exata,1.0,exata
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",fazia,ganhava,verbo,classe_correta,0.5,classe_correta
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",o,juntou,artigo,incorreta,0.0,incorreta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",suficiente,mudamos,adjetivo,incorreta,0.0,incorreta
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,quando,viajar,advérbio de tempo,incorreta,0.0,incorreta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,a,soltava,artigo,incorreta,0.0,incorreta
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",era,era,verbo,exata,1.0,exata
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",era,era,verbo,exata,1.0,exata
Nós [LACUNA] na rua de tardezinha,brincava,brincávamos,verbo,aceitavel,1.0,aceitavel
O acendedor de lampiões [LACUNA] quando escurecia,acaba,passava,verbo,classe_correta,0.5,classe_correta
O acendedor de lampiões passava quando [LACUNA],acende,escurecia,verbo,classe_correta,0.5,classe_correta
Muita coisa [LACUNA] quando a eletricidade chegou,é,mudou,verbo,classe_correta,0.5,classe_correta
Muita coisa mudou quando a eletricidade [LACUNA],acaba,chegou,verbo,classe_correta,0.5,classe_correta
As lâmpadas elétricas [LACUNA] os lampiões a gás,também,substituíram,advérbio de inclusão,incorreta,0.0,incorreta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,eletrico,chegou,adjetivo,incorreta,0.0,incorreta
O rádio chegou e a família toda [LACUNA] notícias e novelas,é,ouvia,verbo,classe_correta,0.5,classe_correta
A inauguração dos bondes elétricos [LACUNA] uma emoção,era,foi,verbo,aceitavel,1.0,aceitavel
Todo mundo [LACUNA],queria,viu,verbo,classe_correta,0.5,classe_correta
Os primeiros automóveis [LACUNA] uma sensação,era,foram,verbo,aceitavel,0.5,classe_correta
Os ônibus também [LACUNA],anda,chegaram,verbo,classe_correta,0.5,classe_correta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,sai,desapareceram,verbo,aceitavel,0.5,classe_correta
A cidade [LACUNA] e a nossa vida também,que,mudou,pronome relativo,incorreta,0.0,incorreta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",é,chegavam,verbo,classe_correta,0.5,classe_correta
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,é,era,verbo,aceitavel,1.0,aceitavel
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,tem,comprou,verbo,aceitavel,0.5,classe_correta
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,acontece,começaram,verbo,classe_correta,0.5,classe_correta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,lançadas,fabricá,verbo,classe_correta,0.0,incorreta
São Paulo [LACUNA] muito,tem,cresceu,verbo,classe_correta,0.5,classe_correta
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",acho,dizem,verbo,aceitavel,0.5,classe_correta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",muita,é,pronome indefinido,incorreta,0.0,incorreta
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",raiva,cresceu,nome substantivo,incorreta,0.0,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",é,era,verbo,aceitavel,0.5,classe_correta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",trazer,causou,verbo,aceitavel,0.5,classe_correta
"Mesmo assim, eu [LACUNA] dela",falo,gosto,verbo,classe_correta,0.5,classe_correta
Aqui [LACUNA] minhas lembranças,é,estão,verbo,aceitavel,0.5,classe_correta
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,trabalhava,trabalhava,verbo,exata,1.0,exata
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",ganhava,ganhava,verbo,exata,1.0,exata
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",ssobrava,juntou,verbo,classe_correta,0.5,classe_correta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",viajava,mudamos,verbo,classe_correta,0.5,classe_correta
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,era,viajar,verbo,classe_correta,0.5,classe_correta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,ssaia,soltava,verbo,aceitavel,0.0,incorreta
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",era,era,verbo,exata,1.0,exata
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",era,era,verbo,exata,1.0,exata
Nós [LACUNA] na rua de tardezinha,brimcavamos,brincávamos,verbo,aceitavel,1.0,grafia_incorreta
O acendedor de lampiões [LACUNA] quando escurecia,assendia,passava,verbo,classe_correta,0.0,incorreta
O acendedor de lampiões passava quando [LACUNA],escurecia,escurecia,verbo,exata,1.0,exata
Muita coisa [LACUNA] quando a eletricidade chegou,melhorou,mudou,verbo,classe_correta,1.0,aceitavel
Muita coisa mudou quando a eletricidade [LACUNA],chegou,chegou,verbo,exata,1.0,exata
As lâmpadas elétricas [LACUNA] os lampiões a gás,ssubistuirão,substituíram,verbo,aceitavel,0.5,classe_correta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,tocava,chegou,verbo,classe_correta,0.5,classe_correta
O rádio chegou e a família toda [LACUNA] notícias e novelas,escutavão,ouvia,verbo,aceitavel,0.0,incorreta
A inauguração dos bondes elétricos [LACUNA] uma emoção,foi,foi,verbo,exata,1.0,exata
Todo mundo [LACUNA],gostou,viu,verbo,classe_correta,0.5,classe_correta
Os primeiros automóveis [LACUNA] uma sensação,forão,foram,verbo,aceitavel,0.5,classe_correta
Os ônibus também [LACUNA],-,chegaram,-,incorreta,0.0,branco
Os cavalos e burros [LACUNA] aos poucos do meio urbano,-,desapareceram,-,incorreta,0.0,branco
A cidade [LACUNA] e a nossa vida também,-,mudou,-,incorreta,0.0,branco
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",-,chegavam,-,incorreta,0.0,branco
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,-,era,-,incorreta,0.0,branco
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,-,comprou,-,incorreta,0.0,branco
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,-,começaram,-,incorreta,0.0,branco
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,-,fabricá,-,incorreta,0.0,branco
São Paulo [LACUNA] muito,-,cresceu,-,incorreta,0.0,branco
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",-,dizem,-,incorreta,0.0,branco
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",-,é,-,incorreta,0.0,branco
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",-,cresceu,-,incorreta,0.0,branco
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",-,era,-,incorreta,0.0,branco
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",-,causou,-,incorreta,0.0,branco
"Mesmo assim, eu [LACUNA] dela",-,gosto,-,incorreta,0.0,branco
Aqui [LACUNA] minhas lembranças,-,estão,-,incorreta,0.0,branco
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,trabalhava,trabalhava,verbo,exata,1.0,exata
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",trabalhava,ganhava,verbo,classe_correta,1.0,aceitavel
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",ganhava,juntou,verbo,classe_correta,0.5,classe_correta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",fomos,mudamos,verbo,aceitavel,1.0,aceitavel
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,que,viajar,pronome relativo,incorreta,0.0,incorreta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,tem,soltava,verbo,aceitavel,0.5,classe_correta
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",é,era,verbo,aceitavel,0.5,classe_correta
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",é,era,verbo,aceitavel,0.5,classe_correta
Nós [LACUNA] na rua de tardezinha,fomos,brincávamos,verbo,classe_correta,0.5,classe_correta
O acendedor de lampiões [LACUNA] quando escurecia,estava,passava,verbo,classe_correta,1.0,aceitavel
O acendedor de lampiões passava quando [LACUNA],eu,escurecia,pronome pessoal,incorreta,0.0,incorreta
Muita coisa [LACUNA] quando a eletricidade chegou,aconteceu,mudou,verbo,aceitavel,1.0,aceitavel
Muita coisa mudou quando a eletricidade [LACUNA],veio,chegou,verbo,aceitavel,1.0,aceitavel
As lâmpadas elétricas [LACUNA] os lampiões a gás,estouraram,substituíram,verbo,classe_correta,0.5,classe_correta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,funcionou,chegou,verbo,classe_correta,0.5,classe_correta
O rádio chegou e a família toda [LACUNA] notícias e novelas,era,ouvia,verbo,classe_correta,0.5,classe_correta
